DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-May-2026,EQ,"2,291.00","2,334.00","2,235.00","2,284.20","2,256.00","2,258.90","2,271.96","3,545.00","2,206.40","1,63,31,582","37,10,46,29,642.30","2,31,376"
27-May-2026,EQ,"2,275.00","2,295.60","2,260.90","2,276.20","2,289.90","2,284.20","2,276.47","3,545.00","2,206.40","26,53,950","6,04,16,27,688.20","1,23,480"
26-May-2026,EQ,"2,308.20","2,327.90","2,272.40","2,308.20","2,281.40","2,276.20","2,289.98","3,545.00","2,206.40","35,87,597","8,21,55,34,119.50","1,30,719"
25-May-2026,EQ,"2,325.00","2,326.10","2,293.00","2,317.30","2,307.40","2,308.20","2,310.30","3,545.00","2,206.40","32,98,364","7,62,02,24,109.50","75,809"
22-May-2026,EQ,"2,331.10","2,340.00","2,308.10","2,327.20","2,317.90","2,317.30","2,323.55","3,558.00","2,206.40","26,17,262","6,08,13,46,029.20","87,846"
21-May-2026,EQ,"2,331.00","2,335.90","2,314.00","2,327.40","2,325.40","2,327.20","2,324.25","3,558.00","2,206.40","32,99,087","7,66,79,13,393.70","1,06,203"
20-May-2026,EQ,"2,323.90","2,342.00","2,317.80","2,327.10","2,324.10","2,327.40","2,332.61","3,558.00","2,206.40","25,37,422","5,91,88,03,274.80","98,920"
19-May-2026,EQ,"2,300.00","2,377.60","2,297.10","2,283.20","2,330.00","2,327.10","2,347.34","3,558.00","2,206.40","1,03,94,707","24,39,98,67,016.00","2,36,124"
18-May-2026,EQ,"2,264.00","2,292.90","2,252.20","2,264.00","2,289.90","2,283.20","2,277.12","3,558.00","2,206.40","37,73,336","8,59,23,31,857.60","1,18,965"
15-May-2026,EQ,"2,252.00","2,304.90","2,252.00","2,246.00","2,267.00","2,264.00","2,280.06","3,630.50","2,206.40","34,10,637","7,77,64,69,684.80","1,35,890"
14-May-2026,EQ,"2,265.00","2,265.00","2,206.40","2,272.80","2,249.90","2,246.00","2,236.83","3,630.50","2,206.40","56,33,313","12,60,07,36,362.00","2,41,132"
13-May-2026,EQ,"2,306.00","2,309.20","2,269.00","2,300.30","2,274.00","2,272.80","2,285.14","3,630.50","2,269.00","31,71,843","7,24,80,98,371.80","1,69,055"
12-May-2026,EQ,"2,375.00","2,375.00","2,283.00","2,392.90","2,303.50","2,300.30","2,302.30","3,630.50","2,283.00","63,47,884","14,61,47,16,645.60","3,58,785"
11-May-2026,EQ,"2,371.00","2,415.00","2,371.00","2,394.40","2,400.00","2,392.90","2,397.63","3,630.50","2,346.20","19,75,188","4,73,57,75,184.10","1,16,550"
08-May-2026,EQ,"2,398.00","2,407.00","2,375.10","2,401.40","2,397.20","2,394.40","2,387.75","3,630.50","2,346.20","37,92,199","9,05,48,24,056.00","1,84,241"
07-May-2026,EQ,"2,438.20","2,439.70","2,398.00","2,435.40","2,403.00","2,401.40","2,408.44","3,630.50","2,346.20","58,29,594","14,04,02,48,979.00","1,67,098"
06-May-2026,EQ,"2,441.90","2,471.00","2,406.50","2,427.30","2,435.00","2,435.40","2,433.81","3,630.50","2,346.20","31,47,628","7,66,07,43,017.80","1,30,239"
05-May-2026,EQ,"2,430.00","2,460.40","2,412.20","2,431.30","2,429.80","2,427.30","2,432.41","3,630.50","2,346.20","33,85,720","8,23,54,52,650.20","1,34,489"
04-May-2026,EQ,"2,494.00","2,498.30","2,425.00","2,473.90","2,430.00","2,431.30","2,444.12","3,630.50","2,346.20","26,32,358","6,43,37,88,855.30","1,45,629"
30-Apr-2026,EQ,"2,479.00","2,491.00","2,438.00","2,474.70","2,474.80","2,473.90","2,470.47","3,630.50","2,346.20","39,70,446","9,80,88,81,103.10","1,75,405"
29-Apr-2026,EQ,"2,451.00","2,487.90","2,447.60","2,444.70","2,465.00","2,474.70","2,473.75","3,630.50","2,346.20","28,35,961","7,01,54,68,503.50","1,45,414"
28-Apr-2026,EQ,"2,444.00","2,487.00","2,427.40","2,447.60","2,450.70","2,444.70","2,452.87","3,630.50","2,346.20","45,08,363","11,05,84,22,250.70","2,02,414"
27-Apr-2026,EQ,"2,396.90","2,459.00","2,396.90","2,396.90","2,448.00","2,447.60","2,439.56","3,630.50","2,346.20","58,53,425","14,27,98,01,556.70","2,26,406"
24-Apr-2026,EQ,"2,488.00","2,505.00","2,388.80","2,521.80","2,401.00","2,396.90","2,426.09","3,630.50","2,346.20","51,07,719","12,39,18,09,512.40","3,00,607"
23-Apr-2026,EQ,"2,529.00","2,559.50","2,516.30","2,538.50","2,518.20","2,521.80","2,538.03","3,630.50","2,346.20","25,09,050","6,36,80,42,336.20","1,16,013"
22-Apr-2026,EQ,"2,580.00","2,580.00","2,503.60","2,610.50","2,535.30","2,538.50","2,543.73","3,630.50","2,346.20","52,32,045","13,30,89,11,672.10","2,34,440"
21-Apr-2026,EQ,"2,560.00","2,614.00","2,560.00","2,579.60","2,609.90","2,610.50","2,596.45","3,630.50","2,346.20","27,19,959","7,06,22,45,701.10","1,26,132"
20-Apr-2026,EQ,"2,587.10","2,594.00","2,561.20","2,581.50","2,575.90","2,579.60","2,581.08","3,630.50","2,346.20","22,88,558","5,90,69,41,172.80","1,24,006"
17-Apr-2026,EQ,"2,570.00","2,589.00","2,555.90","2,576.90","2,583.60","2,581.50","2,577.98","3,630.50","2,346.20","27,18,206","7,00,74,72,973.50","1,31,272"
16-Apr-2026,EQ,"2,572.00","2,594.00","2,558.00","2,554.90","2,573.00","2,576.90","2,575.26","3,630.50","2,346.20","39,05,403","10,05,74,27,039.80","1,74,580"
15-Apr-2026,EQ,"2,501.90","2,559.00","2,493.40","2,472.60","2,552.80","2,554.90","2,542.02","3,630.50","2,346.20","52,61,384","13,37,45,54,360.50","1,86,444"
13-Apr-2026,EQ,"2,489.90","2,504.90","2,470.00","2,524.30","2,470.70","2,472.60","2,480.40","3,630.50","2,346.20","37,39,587","9,27,56,88,865.00","1,52,183"
10-Apr-2026,EQ,"2,565.80","2,565.80","2,501.10","2,589.00","2,523.00","2,524.30","2,522.67","3,630.50","2,346.20","1,04,80,239","26,43,82,19,057.00","3,73,922"
09-Apr-2026,EQ,"2,554.00","2,605.00","2,531.10","2,559.20","2,590.00","2,589.00","2,577.84","3,630.50","2,346.20","56,28,261","14,50,87,58,087.80","2,18,190"
08-Apr-2026,EQ,"2,572.00","2,580.30","2,540.10","2,539.80","2,561.10","2,559.20","2,557.13","3,630.50","2,346.20","47,69,337","12,19,58,04,701.30","2,36,001"
07-Apr-2026,EQ,"2,461.00","2,543.90","2,448.00","2,473.90","2,543.50","2,539.80","2,522.72","3,630.50","2,346.20","45,16,550","11,39,39,81,114.00","2,19,120"
06-Apr-2026,EQ,"2,474.00","2,482.00","2,448.20","2,450.70","2,472.00","2,473.90","2,465.46","3,630.50","2,346.20","25,72,417","6,34,21,91,751.10","1,18,175"
02-Apr-2026,EQ,"2,386.00","2,469.90","2,375.70","2,408.20","2,445.70","2,450.70","2,428.65","3,630.50","2,346.20","53,78,361","13,06,21,62,395.40","2,53,292"
01-Apr-2026,EQ,"2,429.00","2,472.00","2,397.90","2,358.90","2,411.20","2,408.20","2,433.70","3,630.50","2,346.20","41,32,661","10,05,76,37,617.80","1,47,044"
30-Mar-2026,EQ,"2,375.10","2,398.00","2,346.20","2,389.80","2,365.00","2,358.90","2,370.92","3,630.50","2,346.20","68,04,756","16,13,35,42,829.30","1,86,938"
27-Mar-2026,EQ,"2,403.90","2,422.10","2,385.00","2,377.40","2,387.50","2,389.80","2,403.64","3,710.00","2,348.00","49,79,411","11,96,86,98,699.20","2,04,594"
25-Mar-2026,EQ,"2,400.90","2,421.60","2,369.80","2,398.80","2,377.90","2,377.40","2,397.29","3,710.00","2,348.00","58,43,778","14,00,92,57,427.90","2,16,118"
24-Mar-2026,EQ,"2,404.10","2,435.40","2,379.10","2,383.80","2,400.80","2,398.80","2,405.63","3,710.00","2,348.00","34,20,182","8,22,77,06,052.40","1,74,467"
23-Mar-2026,EQ,"2,365.00","2,406.80","2,348.00","2,390.60","2,380.00","2,383.80","2,389.12","3,710.00","2,348.00","38,60,515","9,22,32,42,939.10","2,14,767"
20-Mar-2026,EQ,"2,386.00","2,407.80","2,364.20","2,356.00","2,397.60","2,390.60","2,384.64","3,710.00","2,350.20","42,06,320","10,03,05,76,230.90","1,86,293"
19-Mar-2026,EQ,"2,417.00","2,424.00","2,350.20","2,440.80","2,362.80","2,356.00","2,378.78","3,710.00","2,350.20","27,57,060","6,55,84,45,932.60","1,71,760"
18-Mar-2026,EQ,"2,410.00","2,482.90","2,410.00","2,391.70","2,439.00","2,440.80","2,457.23","3,710.00","2,360.00","30,82,388","7,57,41,39,825.80","1,49,271"
17-Mar-2026,EQ,"2,420.00","2,420.00","2,360.00","2,409.20","2,394.00","2,391.70","2,387.21","3,710.00","2,360.00","29,93,367","7,14,58,03,596.00","2,07,239"
16-Mar-2026,EQ,"2,410.00","2,425.00","2,366.10","2,410.50","2,401.00","2,409.20","2,394.18","3,710.00","2,366.10","38,07,907","9,11,68,14,433.00","1,69,215"
13-Mar-2026,EQ,"2,437.00","2,445.90","2,397.00","2,442.40","2,412.00","2,410.50","2,418.06","3,710.00","2,397.00","24,66,488","5,96,41,19,962.40","1,80,674"
12-Mar-2026,EQ,"2,459.80","2,472.90","2,436.00","2,464.90","2,447.00","2,442.40","2,450.97","3,710.00","2,436.00","27,52,075","6,74,52,52,596.10","1,65,970"
11-Mar-2026,EQ,"2,508.10","2,521.00","2,460.10","2,513.10","2,463.00","2,464.90","2,482.92","3,710.00","2,460.10","27,20,664","6,75,52,04,516.50","1,92,326"
10-Mar-2026,EQ,"2,541.00","2,545.20","2,490.10","2,527.40","2,517.40","2,513.10","2,507.26","3,710.00","2,490.10","43,23,710","10,84,06,45,308.20","2,14,008"
09-Mar-2026,EQ,"2,530.00","2,560.00","2,505.00","2,557.60","2,527.80","2,527.40","2,525.33","3,710.00","2,505.00","36,53,428","9,22,61,03,997.60","1,91,560"
06-Mar-2026,EQ,"2,572.00","2,619.20","2,553.60","2,578.80","2,560.00","2,557.60","2,581.54","3,710.00","2,546.40","39,98,643","10,32,26,55,875.30","1,43,599"
05-Mar-2026,EQ,"2,600.00","2,609.50","2,546.40","2,587.80","2,575.00","2,578.80","2,567.95","3,710.00","2,546.40","29,60,636","7,60,27,67,475.60","1,86,527"
04-Mar-2026,EQ,"2,625.00","2,635.00","2,580.40","2,613.50","2,583.00","2,587.80","2,598.18","3,710.00","2,561.30","34,46,434","8,95,44,59,042.60","1,93,409"
02-Mar-2026,EQ,"2,592.00","2,623.80","2,580.30","2,637.40","2,611.70","2,613.50","2,606.37","3,710.00","2,561.30","33,74,385","8,79,48,98,070.10","2,27,265"
27-Feb-2026,EQ,"2,681.60","2,688.60","2,626.10","2,647.70","2,639.70","2,637.40","2,644.90","3,763.20","2,561.30","50,83,717","13,44,59,33,670.90","1,66,737"
26-Feb-2026,EQ,"2,650.00","2,671.00","2,635.00","2,629.30","2,649.00","2,647.70","2,649.37","3,763.20","2,561.30","34,64,267","9,17,81,07,812.80","1,48,371"
25-Feb-2026,EQ,"2,596.00","2,654.20","2,595.00","2,573.70","2,629.00","2,629.30","2,632.16","3,763.20","2,561.30","36,21,285","9,53,17,84,527.20","1,70,312"
24-Feb-2026,EQ,"2,641.00","2,647.50","2,561.30","2,676.30","2,581.00","2,573.70","2,586.99","3,763.20","2,561.30","77,98,833","20,17,55,18,856.60","4,24,406"
23-Feb-2026,EQ,"2,686.00","2,704.00","2,660.20","2,686.20","2,674.00","2,676.30","2,675.99","3,763.20","2,585.00","46,99,596","12,57,60,73,695.10","1,71,914"
20-Feb-2026,EQ,"2,667.00","2,702.60","2,647.50","2,677.90","2,685.00","2,686.20","2,684.40","3,934.00","2,585.00","22,93,482","6,15,66,33,439.20","98,725"
19-Feb-2026,EQ,"2,708.00","2,748.70","2,666.60","2,694.90","2,675.00","2,677.90","2,709.33","3,934.00","2,585.00","32,38,849","8,77,50,99,079.90","1,37,884"
18-Feb-2026,EQ,"2,730.00","2,730.00","2,657.30","2,717.40","2,694.50","2,694.90","2,687.82","3,934.00","2,585.00","29,50,820","7,93,12,64,158.60","1,40,494"
17-Feb-2026,EQ,"2,716.00","2,760.00","2,695.20","2,706.60","2,719.80","2,717.40","2,735.60","3,934.00","2,585.00","42,09,118","11,51,44,52,779.90","1,63,505"
16-Feb-2026,EQ,"2,700.00","2,719.80","2,671.00","2,692.20","2,713.00","2,706.60","2,692.22","3,934.00","2,585.00","29,18,730","7,85,78,74,541.60","1,34,363"
13-Feb-2026,EQ,"2,585.00","2,713.00","2,585.00","2,750.10","2,695.00","2,692.20","2,649.41","4,052.00","2,585.00","1,11,68,735","29,59,05,99,535.80","4,15,060"
12-Feb-2026,EQ,"2,869.80","2,880.00","2,740.00","2,909.80","2,741.90","2,750.10","2,778.17","4,052.00","2,740.00","1,06,12,156","29,48,23,35,572.60","6,60,406"
